time(s),x,y
0.009977,0,0
0.020945,0,0
0.029984,0,0
0.039919,0,0
0.050061,0,0
0.060108,0,0
0.070048,0,0
0.08000599999999999,0,0
0.089952,0,0
0.099992,0,0
0.109926,0,0
0.119918,0,0
0.129846,0,0
0.139847,0,0
0.149794,-1,0
0.159804,-1,0
0.16974,-2,-1
0.179743,-2,-1
0.189687,-3,-1
0.200695,-4,-1
0.209674,-5,-2
0.219605,-5,-2
0.229639,-6,-2
0.239552,-8,-5
0.249596,-9,-5
0.259539,-10,-7
0.269539,-11,-8
0.279484,-11,-9
0.289419,-13,-12
0.299434,-14,-13
0.309407,-17,-15
0.319339,-17,-16
0.329313,-19,-18
0.339428,-19,-19
0.349403,-20,-20
0.359386,-22,-23
0.369299,-23,-24
0.379325,-26,-25
0.389298,-26,-26
0.399274,-28,-29
0.409192,-28,-30
0.419236,-29,-33
0.429173,-30,-34
0.440151,-32,-36
0.449815,-33,-37
0.459788,-34,-40
0.469718,-36,-41
0.479757,-37,-44
0.489709,-37,-45
0.500671,-39,-47
0.509661,-40,-48
0.519616,-40,-50
0.529604,-42,-53
0.539534,-42,-55
0.549664,-44,-58
0.559606,-45,-59
0.569636,-46,-61
0.5793160000000001,-46,-63
0.589579,-48,-66
0.599514,-49,-67
0.6094349999999999,-50,-70
0.619699,-50,-72
0.629414,-51,-74
0.639204,-52,-77
0.649323,-53,-79
0.659326,-55,-82
0.6693,-56,-84
0.679247,-58,-88
0.689217,-59,-90
0.699221,-61,-93
0.709193,-62,-95
0.7191689999999999,-64,-99
0.729141,-65,-101
0.740119,-67,-104
0.750084,-68,-106
0.759167,-69,-108
0.770069,-71,-112
0.780072,-71,-114
0.790071,-73,-117
0.800023,-75,-119
0.809993,-77,-123
0.819966,-78,-124
0.8299800000000001,-80,-128
0.8397289999999999,-81,-130
0.850027,-82,-134
0.8599830000000001,-83,-136
0.869956,-86,-139
0.879933,-87,-141
0.889904,-89,-145
0.899875,-90,-147
0.90985,-91,-150
0.919858,-92,-152
0.929797,-93,-155
0.939308,-94,-157
0.949222,-97,-159
0.9592270000000001,-98,-161
0.969735,-99,-164
0.980606,-100,-166
0.98963,-102,-169
0.999607,-103,-170
1.009633,-104,-172
1.019555,-105,-173
1.029619,-106,-175
1.03945,-106,-176
1.050076,-106,-177
1.060045,-107,-178
1.070019,-107,-179
1.080986,-107,-180
1.089914,-107,-180
1.099941,-107,-181
1.109861,-107,-181
1.119877,-107,-181
1.129881,-107,-181
1.139781,-107,-181
1.149755,-106,-181
1.159766,-106,-180
1.169732,-105,-179
1.179677,-104,-178
1.189692,-102,-177
1.199654,-101,-177
1.209661,-100,-176
1.2196,-99,-175
1.229681,-99,-175
1.239516,-99,-175
1.249696,-98,-175
1.259638,-98,-174
1.269646,-97,-174
1.279584,-96,-174
1.28958,-93,-174
1.2995,-92,-174
1.309505,-90,-175
1.319478,-89,-175
1.32915,-88,-176
1.339437,-88,-176
1.349524,-86,-176
1.360565,-82,-177
1.370095,-79,-177
1.379947,-78,-177
1.389898,-76,-178
1.399827,-74,-178
1.409829,-71,-178
1.419782,-69,-178
1.429776,-67,-178
1.439763,-64,-179
1.44985,-62,-179
1.459823,-59,-180
1.469766,-57,-180
1.47977,-54,-181
1.489714,-52,-181
1.49973,-49,-181
1.509702,-47,-181
1.519701,-44,-181
1.529606,-42,-181
1.539579,-40,-181
1.549592,-37,-182
1.559565,-35,-182
1.569543,-31,-182
1.579472,-29,-183
1.589447,-26,-183
1.59946,-24,-183
1.609245,-20,-184
1.61943,-19,-183
1.629462,-17,-183
1.639354,-13,-183
1.649318,-11,-183
1.659301,-8,-183
1.669263,-6,-184
1.680234,-3,-184
1.689181,-2,-184
1.699184,1,-185
1.709178,2,-185
1.719131,6,-184
1.730147,7,-184
1.740126,11,-184
1.749756,13,-183
1.759741,16,-183
1.769701,18,-183
1.779675,20,-183
1.789661,23,-183
1.799628,25,-183
1.80957,29,-183
1.81961,30,-183
1.829544,32,-183
1.839529,35,-183
1.849189,37,-183
1.859172,38,-183
1.869137,42,-183
1.880142,44,-183
1.889132,47,-183
1.900047,49,-183
1.910031,51,-183
1.919993,54,-183
1.929986,56,-182
1.939911,58,-182
1.949522,63,-182
1.959496,64,-182
1.969471,67,-182
1.979217,69,-182
1.989429,71,-182
1.999359,73,-183
2.009361,74,-183
2.019385,75,-183
2.030309,76,-183
2.039282,77,-183
2.049864,77,-183
2.059839,79,-183
2.069809,82,-182
2.079785,84,-182
2.08978,85,-182
2.099732,86,-182
2.109703,86,-182
2.120716,86,-182
2.130617,87,-181
2.139638,87,-181
2.149598,88,-181
2.159573,89,-181
2.169544,89,-181
2.179522,90,-181
2.189499,91,-181
2.199463,91,-180
2.209406,92,-180
2.219522,93,-180
2.229382,94,-180
2.239325,94,-180
2.24933,96,-180
2.259306,96,-179
2.26939,99,-178
2.279218,100,-178
2.28919,102,-178
2.299199,102,-178
2.309169,102,-178
2.320109,102,-178
2.329153,102,-178
2.340055,102,-178
2.350053,102,-179
2.36,101,-179
2.370001,101,-179
2.379975,100,-179
2.389963,99,-179
2.399927,99,-179
2.409899,97,-178
2.419872,97,-178
2.429848,96,-178
2.439788,96,-178
2.449962,93,-175
2.459941,92,-175
2.470053,91,-174
2.479959,90,-172
2.489903,90,-171
2.499876,89,-169
2.509851,89,-168
2.519872,88,-168
2.52987,88,-166
2.53985,87,-165
2.549742,86,-163
2.559718,85,-162
2.569688,84,-160
2.579664,83,-158
2.590635,83,-157
2.599609,82,-156
2.609592,81,-154
2.619557,80,-152
2.629532,79,-150
2.639503,78,-148
2.649477,77,-147
2.659481,75,-144
2.669463,75,-142
2.679395,74,-141
2.689373,72,-137
2.699374,72,-136
2.70932,70,-133
2.719293,69,-131
2.729293,68,-129
2.739263,66,-126
2.749372,65,-124
2.75968,63,-121
2.769647,62,-119
2.779596,61,-117
2.789566,58,-114
2.799575,57,-113
2.809595,54,-110
2.819518,53,-108
2.82946,52,-107
2.840578,49,-104
2.849438,48,-102
2.859416,45,-99
2.869353,44,-97
2.879354,43,-96
2.889331,41,-92
2.899305,40,-91
2.909277,38,-87
2.919296,37,-85
2.929193,36,-83
2.939244,35,-80
2.949172,34,-78
2.959144,33,-75
2.970086,33,-74
2.980058,31,-71
2.990033,31,-69
3.000076,30,-68
3.010009,28,-65
3.019981,27,-64
3.030036,25,-61
3.039896,24,-59
3.049871,23,-58
3.059877,22,-55
3.069881,22,-54
3.079908,21,-51
3.089762,20,-50
3.099738,19,-48
3.109742,18,-47
3.119724,18,-46
3.129697,17,-44
3.139743,16,-43
3.149648,15,-41
3.159702,14,-39
3.16965,14,-38
3.179645,13,-36
3.189665,13,-35
3.199602,12,-32
3.209647,12,-31
3.219599,11,-29
3.22949,10,-27
3.239507,10,-26
3.249525,9,-24
3.259625,9,-23
3.26992,8,-20
3.279576,8,-19
3.289419,7,-16
3.299573,6,-15
3.30969,5,-13
3.319565,4,-11
3.329497,2,-10
3.339493,1,-9
3.349465,1,-8
3.359459,0,-6
3.369467,0,-6
3.379364,-1,-5
3.389338,-1,-4
3.399452,-2,-4
3.410279,-2,-3
3.419297,-2,-3
3.429259,-5,0
3.439233,-5,0
3.449294,-5,1
3.459149,-6,1
3.470118,-6,2
3.480125,-6,2
3.489177,-6,2
3.500174,-6,2
3.510067,-6,2
3.519983,-6,2
3.529957,-5,1
