time(s),x,y
0.009996,0,0
0.01997,-1,0
0.030003,-1,0
0.039892,-2,1
0.049889,-2,1
0.060014,-2,1
0.069839,-3,1
0.07978399999999999,-3,1
0.089784,-3,2
0.099771,-3,2
0.109705,-3,2
0.11977,-4,2
0.129649,-4,1
0.139663,-5,1
0.149642,-5,1
0.159569,-6,0
0.169581,-7,-3
0.179519,-7,-4
0.189494,-8,-5
0.199462,-9,-8
0.209437,-10,-9
0.21941,-11,-11
0.229424,-12,-12
0.239358,-13,-14
0.249331,-14,-16
0.259307,-15,-17
0.269279,-17,-21
0.279399,-20,-24
0.289415,-21,-25
0.299373,-22,-27
0.309358,-25,-30
0.319438,-26,-32
0.329274,-29,-35
0.339283,-31,-37
0.34924,-33,-41
0.360187,-35,-42
0.370203,-38,-46
0.379303,-39,-47
0.38929,-42,-51
0.399258,-42,-52
0.410191,-44,-56
0.420165,-46,-58
0.430223,-48,-62
0.44011,-50,-64
0.450116,-52,-67
0.460092,-53,-69
0.470032,-54,-71
0.480034,-56,-75
0.490084,-57,-77
0.499952,-59,-81
0.509923,-60,-83
0.519947,-61,-87
0.529914,-62,-89
0.539845,-64,-92
0.549817,-65,-94
0.559832,-66,-98
0.569767,-67,-99
0.579854,-68,-101
0.589823,-70,-106
0.599795,-73,-110
0.610101,-74,-112
0.619634,-75,-114
0.629977,-77,-118
0.639889,-78,-120
0.649778,-81,-124
0.659834,-82,-126
0.669757,-84,-130
0.679739,-85,-131
0.689425,-87,-135
0.699646,-88,-137
0.709649,-90,-141
0.71968,-91,-143
0.730595,-93,-146
0.739538,-94,-148
0.749587,-95,-152
0.759362,-96,-153
0.769572,-97,-157
0.780054,-98,-159
0.790057,-100,-163
0.800031,-100,-165
0.810005,-102,-168
0.819944,-103,-170
0.829923,-104,-173
0.839924,-104,-174
0.849867,-104,-175
0.859874,-105,-177
0.869868,-105,-177
0.879819,-105,-179
0.889791,-105,-179
0.899733,-106,-179
0.909706,-106,-179
0.91971,-106,-180
0.929686,-106,-180
0.939659,-106,-180
0.949621,-106,-180
0.959613,-106,-180
0.969595,-106,-180
0.9795160000000001,-105,-180
0.98961,-105,-180
0.999468,-105,-180
1.009486,-105,-180
1.019458,-105,-179
1.029471,-105,-179
1.03941,-105,-179
1.049382,-105,-179
1.059405,-104,-179
1.06933,-104,-179
1.079456,-104,-179
1.089509,-104,-179
1.099425,-103,-179
1.109345,-103,-179
1.119352,-102,-179
1.129294,-102,-179
1.139297,-100,-179
1.149241,-100,-179
1.159251,-96,-178
1.169227,-95,-178
1.179371,-93,-179
1.189344,-93,-179
1.199491,-92,-178
1.209262,-91,-178
1.219324,-90,-178
1.229253,-86,-179
1.240208,-85,-179
1.250186,-83,-180
1.260159,-83,-180
1.270137,-81,-180
1.280118,-81,-180
1.290049,-74,-179
1.300024,-72,-179
1.309997,-71,-179
1.320019,-68,-178
1.329982,-66,-178
1.339964,-62,-177
1.34994,-61,-177
1.360011,-58,-177
1.369937,-57,-177
1.379979,-54,-176
1.389954,-52,-176
1.400025,-50,-175
1.409929,-48,-175
1.419876,-45,-175
1.429848,-44,-175
1.439853,-41,-175
1.449836,-40,-175
1.460766,-37,-175
1.469784,-36,-175
1.479938,-32,-174
1.489938,-31,-174
1.499926,-29,-174
1.509885,-25,-173
1.519825,-23,-172
1.52983,-20,-172
1.539773,-19,-172
1.550742,-16,-171
1.559763,-14,-171
1.569694,-12,-171
1.579236,-10,-171
1.590246,-7,-172
1.602177,-5,-171
1.609776,-3,-171
1.620159,1,-171
1.630147,3,-171
1.640073,6,-171
1.650064,8,-170
1.660116,11,-170
1.670038,12,-170
1.679864,16,-171
1.689791,18,-171
1.699827,19,-171
1.709768,23,-171
1.71971,25,-171
1.729731,28,-170
1.739657,30,-170
1.749631,33,-169
1.759655,35,-169
1.769696,39,-169
1.779657,40,-169
1.789632,42,-169
1.799551,46,-168
1.809566,48,-168
1.81948,49,-168
1.829521,53,-168
1.839441,54,-168
1.849421,58,-168
1.859386,59,-169
1.86931,60,-169
1.879483,63,-169
1.889457,64,-169
1.899434,68,-170
1.909408,69,-170
1.919377,70,-170
1.929342,73,-171
1.939302,75,-171
1.949247,77,-171
1.959247,81,-171
1.969228,82,-171
1.979306,84,-171
1.989263,88,-171
1.999241,90,-171
2.009232,93,-171
2.020201,95,-171
2.030254,99,-171
2.040098,100,-171
2.050123,101,-171
2.060095,104,-171
2.07007,105,-172
2.079994,106,-172
2.090015,108,-172
2.099942,109,-172
2.109954,109,-172
2.119938,109,-172
2.129909,109,-173
2.139881,110,-173
2.149809,110,-173
2.159842,110,-173
2.169781,110,-173
2.179456,110,-173
2.18942,110,-173
2.199437,110,-173
2.209387,110,-173
2.219364,110,-172
2.22929,109,-171
2.239265,109,-171
2.2493,109,-168
2.259364,108,-167
2.270229,107,-166
2.2802,107,-165
2.290178,106,-165
2.300102,105,-164
2.310113,105,-163
2.320086,104,-162
2.330115,103,-161
2.339992,103,-160
2.350015,102,-158
2.359941,101,-158
2.369959,100,-157
2.379982,99,-155
2.389901,99,-155
2.399834,98,-154
2.409805,96,-153
2.420908,95,-152
2.429798,94,-150
2.439649,93,-149
2.449222,92,-149
2.459821,90,-147
2.469821,89,-146
2.479794,88,-144
2.489766,87,-143
2.499752,86,-142
2.509714,84,-140
2.519673,83,-139
2.529675,82,-138
2.539641,80,-135
2.550614,79,-134
2.559589,77,-131
2.569696,75,-130
2.579621,74,-128
2.589594,72,-125
2.599566,71,-123
2.609572,70,-120
2.619601,69,-118
2.629518,68,-116
2.639279,66,-112
2.649434,65,-110
2.659411,63,-108
2.669381,61,-105
2.680032,60,-103
2.690055,58,-99
2.69994,58,-98
2.709997,57,-96
2.719937,55,-91
2.729891,54,-89
2.739833,53,-86
2.749805,52,-84
2.759808,51,-82
2.76978,50,-78
2.779728,49,-76
2.78943,48,-75
2.799673,47,-71
2.80968,47,-69
2.819663,45,-66
2.829697,44,-64
2.83957,43,-63
2.849543,42,-60
2.859546,41,-59
2.869517,40,-55
2.879489,39,-54
2.889464,37,-51
2.899436,36,-50
2.90938,36,-48
2.919384,34,-45
2.930355,32,-44
2.939333,31,-41
2.949381,30,-39
2.959246,29,-38
2.970215,27,-34
2.980285,26,-33
2.989285,24,-30
2.999232,23,-29
3.010284,20,-25
3.020215,19,-23
3.030152,19,-22
3.040145,16,-18
3.050139,16,-17
3.0601,14,-14
3.070042,13,-13
3.080048,12,-10
3.090021,11,-8
3.099966,10,-5
3.110014,10,-3
3.122011,9,-1
3.129889,8,0
3.139857,7,2
3.149909,7,3
3.159801,6,4
3.169822,5,5
3.179942,5,6
3.189921,3,7
3.199674,2,8
3.209974,2,8
3.219821,1,8
3.22984,1,8
3.239881,1,8
3.249775,0,8
3.259761,0,8
3.269685,-1,9
3.279702,-1,9
3.289664,-1,9
3.299686,-2,9
3.309582,-2,9
3.319697,-2,9
3.329602,-2,9
3.339536,-2,9
3.349524,-2,9
3.359478,-2,9
3.36942,-1,9
3.379449,-1,9
3.389652,0,10
