time(s),x,y
0.009977,0,0
0.019962,0,-1
0.030888,-1,-1
0.039401,-1,-2
0.049892,-2,-2
0.059813,-2,-2
0.069786,-2,-3
0.07982300000000001,-4,-5
0.089881,-5,-6
0.099855,-6,-8
0.109828,-7,-9
0.120014,-7,-11
0.129807,-9,-14
0.13978,-10,-15
0.149752,-11,-16
0.159696,-12,-18
0.16967,-13,-19
0.179642,-14,-22
0.189617,-15,-23
0.199612,-16,-26
0.209561,-17,-27
0.219535,-17,-28
0.229507,-19,-29
0.239519,-20,-31
0.249456,-22,-34
0.25947,-22,-35
0.269445,-23,-37
0.279412,-24,-39
0.290407,-25,-40
0.299397,-26,-43
0.31034,-26,-44
0.320321,-28,-46
0.331238,-28,-47
0.340292,-30,-49
0.350235,-30,-50
0.360207,-32,-52
0.370164,-32,-53
0.380156,-34,-55
0.39008,-35,-57
0.4001,-37,-60
0.410024,-37,-61
0.419998,-40,-64
0.429971,-40,-66
0.439944,-41,-68
0.450918,-41,-70
0.459945,-42,-71
0.469918,-44,-74
0.479888,-45,-75
0.489578,-47,-79
0.499505,-48,-81
0.509479,-50,-84
0.519503,-51,-85
0.529423,-52,-87
0.5394370000000001,-54,-90
0.549417,-54,-91
0.560391,-56,-94
0.570368,-57,-95
0.580339,-59,-98
0.590298,-60,-100
0.600275,-62,-103
0.610251,-63,-104
0.6202220000000001,-65,-107
0.630199,-66,-109
0.640045,-67,-113
0.65017,-68,-114
0.660114,-70,-117
0.67009,-71,-118
0.680063,-72,-121
0.689516,-73,-123
0.699451,-73,-124
0.709461,-75,-127
0.720365,-75,-128
0.730376,-76,-132
0.74031,-77,-133
0.750322,-79,-136
0.760296,-79,-137
0.770274,-81,-140
0.780201,-82,-141
0.790216,-83,-144
0.80022,-83,-145
0.810213,-84,-147
0.820173,-85,-149
0.830095,-86,-150
0.840043,-88,-153
0.850046,-88,-154
0.861029,-89,-156
0.869963,-90,-157
0.879942,-91,-159
0.889944,-91,-160
0.899427,-92,-161
0.909896,-93,-164
0.919829,-94,-165
0.929955,-94,-167
0.939804,-94,-168
0.94979,-95,-169
0.959749,-95,-170
0.969695,-96,-172
0.979699,-96,-172
0.989672,-97,-173
0.999656,-98,-175
1.009622,-99,-176
1.019669,-99,-178
1.029563,-100,-178
1.03954,-101,-180
1.049542,-102,-180
1.059496,-102,-181
1.069429,-102,-182
1.07946,-102,-182
1.089987,-102,-182
1.100988,-102,-182
1.109965,-102,-183
1.119981,-102,-183
1.12969,-102,-184
1.13989,-102,-184
1.149858,-102,-184
1.159801,-102,-185
1.169774,-102,-185
1.179746,-102,-186
1.189768,-102,-185
1.199694,-102,-185
1.209736,-102,-184
1.219681,-102,-184
1.229614,-101,-184
1.239485,-101,-184
1.249659,-101,-184
1.259579,-100,-184
1.269507,-100,-183
1.279481,-99,-183
1.289496,-99,-183
1.299478,-98,-183
1.309473,-98,-182
1.320405,-97,-182
1.330344,-97,-182
1.33939,-96,-183
1.35033,-96,-183
1.360306,-95,-183
1.370238,-94,-182
1.380253,-94,-182
1.389428,-93,-182
1.399446,-92,-182
1.40942,-91,-182
1.419461,-88,-181
1.430365,-87,-181
1.440296,-86,-181
1.450313,-85,-181
1.460273,-85,-181
1.470217,-84,-180
1.480225,-81,-180
1.490205,-79,-180
1.500179,-78,-180
1.510145,-76,-179
1.520116,-75,-179
1.530056,-73,-179
1.540072,-72,-179
1.550003,-70,-179
1.560005,-69,-179
1.570529,-66,-179
1.580922,-65,-179
1.589926,-64,-179
1.600056,-62,-179
1.61,-61,-179
1.620932,-59,-179
1.629905,-58,-179
1.63992,-56,-179
1.649894,-54,-179
1.659867,-53,-179
1.669797,-52,-180
1.679771,-49,-180
1.689906,-48,-180
1.699759,-45,-180
1.709729,-44,-180
1.719678,-42,-180
1.72968,-41,-180
1.739645,-40,-180
1.749628,-38,-180
1.759601,-37,-180
1.769577,-35,-180
1.779532,-33,-180
1.78953,-31,-180
1.79964,-30,-180
1.80969,-28,-180
1.819582,-27,-180
1.829625,-24,-180
1.83953,-23,-180
1.849509,-23,-180
1.859503,-22,-180
1.869513,-21,-180
1.879426,-20,-180
1.889438,-16,-180
1.90041,-14,-180
1.910004,-13,-180
1.920313,-11,-180
1.930286,-10,-180
1.940261,-8,-180
1.950274,-7,-180
1.960257,-5,-180
1.970181,-4,-180
1.980196,-2,-180
1.990131,-2,-180
2.000149,-1,-181
2.010122,-1,-181
2.020046,0,-181
2.030058,4,-181
2.040045,5,-182
2.050005,6,-182
2.060939,8,-181
2.069976,9,-181
2.079935,10,-181
2.089929,10,-181
2.099441,11,-181
2.109414,15,-181
2.120161,16,-181
2.130325,17,-181
2.140348,17,-181
2.150309,18,-181
2.160285,22,-182
2.170219,23,-181
2.180192,24,-181
2.190315,26,-181
2.199848,27,-182
2.209794,28,-181
2.21976,28,-181
2.229699,29,-181
2.239673,33,-181
2.249651,34,-182
2.259646,35,-182
2.26967,37,-182
2.279607,38,-182
2.289542,40,-182
2.299513,41,-182
2.309529,41,-182
2.3195,42,-182
2.329438,43,-182
2.339452,47,-182
2.349421,48,-182
2.359394,50,-183
2.370327,51,-183
2.380337,54,-183
2.390297,55,-183
2.400313,57,-183
2.41029,59,-183
2.420226,60,-183
2.430163,61,-182
2.440186,62,-182
2.45011,62,-182
2.460125,63,-182
2.470131,68,-182
2.480072,68,-182
2.490082,69,-182
2.500013,69,-182
2.510043,70,-182
2.520925,71,-182
2.529937,75,-182
2.539914,76,-182
2.550218,77,-182
2.559628,78,-183
2.569781,79,-183
2.58056,81,-183
2.590123,81,-183
2.60108,82,-183
2.610065,83,-183
2.62007,84,-183
2.629965,88,-183
2.639985,89,-184
2.64996,90,-184
2.660883,90,-184
2.669978,90,-184
2.67983,91,-184
2.690073,92,-184
2.700061,93,-184
2.71002,93,-184
2.720992,97,-183
2.729977,97,-183
2.739951,97,-183
2.750926,97,-183
2.759902,97,-183
2.769869,98,-183
2.779958,98,-183
2.789809,99,-183
2.799444,99,-183
2.809417,99,-183
2.819393,100,-183
2.830362,100,-183
2.840288,100,-183
2.850259,99,-183
2.860286,99,-183
2.870255,99,-183
2.880229,98,-182
2.890155,98,-182
2.899891,98,-182
2.909866,98,-182
2.919835,98,-181
2.929843,98,-181
2.939834,98,-181
2.949758,98,-181
2.959728,98,-180
2.969705,98,-180
2.980406,98,-180
2.989994,97,-180
2.999671,97,-179
3.00946,97,-179
3.019433,97,-178
3.029446,97,-178
3.039429,97,-178
3.050353,97,-177
3.060352,97,-176
3.070299,96,-175
3.080348,95,-173
3.090244,94,-172
3.100248,93,-172
3.110193,93,-171
3.120198,93,-171
3.130139,92,-171
3.140157,92,-170
3.150128,89,-167
3.160062,89,-166
3.170034,88,-164
3.180005,87,-162
3.189978,86,-161
3.199955,84,-158
3.20996,83,-157
3.219899,82,-156
3.22987,80,-153
3.239931,79,-152
3.249889,79,-150
3.25987,78,-147
3.269814,77,-146
3.279789,75,-143
3.289757,74,-142
3.300394,73,-140
3.310304,71,-137
3.320248,70,-136
3.330254,69,-134
3.340234,68,-133
3.350202,68,-132
3.360173,66,-129
3.370147,65,-128
3.380121,64,-126
3.390095,63,-124
3.400638,62,-123
3.409617,61,-122
3.419586,59,-119
3.429592,58,-117
3.43957,57,-115
3.449538,56,-114
3.459481,56,-113
3.469572,55,-110
3.479459,54,-109
3.489433,52,-106
3.499992,52,-105
3.509997,51,-104
3.51998,50,-102
3.530939,49,-100
3.539921,49,-98
3.54991,48,-96
3.559542,48,-95
3.569861,46,-92
3.579826,45,-91
